100,,,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan�s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults � Medication Review,C10: Care for Older Adults � Functional Status Assessment,C11: Care for Older Adults � Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare � Eye Exam,C14: DiabetesCare � Kidney Disease Monitoring,C15: DiabetesCare � Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center � Foreign Language Interpreter and TTY Availability,D01: Call Center � Foreign Language Interpreter and TTY Availability,D02: Appeals Auto�Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for DiabetesMedications,D13: MedicatHypertension for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
"MCLAREN HEALTH PLAN, INC.",McLaren Advantage,McLaren Health Care Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.98,0.94,0,0,0,0,0.8,0,0,0,0.99,0.09,0.73,0.74,0.74,0
"HEALTHKEEPERS, INC.",Anthem HealthKeepers,Anthem Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARE1ST HEALTH PLAN,Care1st Health Plan,Care1st Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEALTHSPRING OF ALABAMA, INC.",Cigna-HealthSpring,CIGNA,0.83,0.8,0.64,0.67,0.76,0.46,0.99,0.62,0.96,0.85,0.94,0.81,0.79,0.96,0.85,0.71,0.73,0.65,0.1,0.85,0.73,0.88,0.87,0.88,0.84,0.13,0.09,0.8,0,0.91,0.91,0.94,0.98,0,0,0.13,0.09,0.8,0,0.86,0.93,0.99,0.04,0.72,0.74,0.7,0.4
"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.68,0.63,0.68,0.71,0.75,0.39,0.98,0.19,0.95,0.76,0.95,0.49,0.64,0.89,0.72,0.67,0.75,0.66,0.11,0.81,0.7,0.88,0.82,0.85,0.82,0.16,0.18,1,0,1,1,0.96,0.98,0.3,0,0.16,0.18,1,0,0.85,0.92,0.98,0.07,0.69,0.73,0.68,0.45
"VIVA HEALTH, INC.",VIVA Medicare,UAB Health System,0.74,0.7,0.66,0.72,0.78,0.47,0.96,0.54,0.94,0.78,0.89,0.46,0.69,0.91,0.76,0.7,0.75,0.6,0.08,0.87,0.72,0.92,0.87,0.89,0.83,0.06,0.06,1,0,0.99,0.9,0.93,0.97,-1,-1,0.06,0.06,1,0,0.88,0.94,0.99,0.05,0.74,0.76,0.72,0.54
"TODAY'S OPTIONS OF TEXAS, INC.",Universal American Corp.,Universal American Corp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMERIHEALTH MICHIGAN, INC.",AmeriHealth Caritas VIP Care Plus,Independence Blue Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0.61,0.55,0.69,0.7,0.81,0.42,0.93,0.26,0.88,0.64,0.88,0.27,0.55,0.89,0.7,0.63,0.64,0.71,0.11,0.88,0.75,0.91,0.85,0.87,0.85,0.16,0.1,1,0,0.97,0.87,0.96,0.98,0.8,1,0.16,0.1,1,0,0.88,0.91,0.98,0.13,0.69,0.7,0.67,0.44
ILLINICARE HEALTH PLAN,IlliniCare Health,Centene Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",0.87,0.62,0.67,0,0,0.41,0.94,0.29,0.88,0.8,0.92,0,0.69,0.93,0.74,0.68,0.86,0.49,0.12,0.84,0.81,0.86,0.87,0.79,0.86,0.25,0.13,1,0,1,0.88,0.96,0.98,0,0,0.25,0.13,1,0,0.77,0.88,0.98,0.05,0.78,0.83,0.78,0.46
"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,"Veritage, LLC",0.79,0.72,0.74,0.69,0.82,0.55,0.97,0,0,0,0,0.27,0.64,0.92,0.81,0.77,0.72,0.58,0.09,0.82,0.76,0.88,0.85,0.86,0.86,0.16,0.05,1,0,0.93,0.87,0.98,0.95,-1,-1,0.16,0.05,1,0,0.87,0.92,0.99,0.1,0.81,0.83,0.78,-1
"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0.64,0.55,0.61,0.67,0.72,0.46,0.91,0.31,0.85,0.53,0.83,0.28,0.69,0.89,0.64,0.56,0.73,0.63,0.09,0.81,0.71,0.83,0.85,0.84,0.84,0.19,0.07,1,0,0.93,0.91,0.96,0.98,3.8,0.76,0.19,0.07,1,0,0.82,0.88,0.98,0.09,0.7,0.71,0.67,0.28
"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",0.85,0.8,0.81,0.68,0.81,0.64,0.99,0,0,0,0,0.44,0.79,0.97,0.86,0.8,0.83,0.55,0.09,0.88,0.81,0.94,0.9,0.93,0.88,0.1,0.04,1,0,0.9,0.96,0.92,0.94,-1,-1,0.1,0.04,1,0,0.89,0.94,0.97,0.05,0.81,0.84,0.79,0.76
"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",0.71,0.63,0.68,0.71,0.77,0.52,0.96,0.38,0.98,0.84,0.9,0.3,0.66,0.95,0.82,0.75,0.73,0.55,0.1,0.74,0.72,0.82,0.83,0.83,0.83,0.22,0.17,0.8,0,0.96,0.86,0.96,0.96,2,0.66,0.22,0.17,0.8,0,0.84,0.9,0.99,0.05,0.78,0.8,0.77,0.24
"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna,CIGNA,0.84,0.81,0.76,0.66,0.81,0.5,0.99,0.79,0.99,0.97,0.99,0.62,0.86,0.97,0.91,0.91,0.82,0.56,0.09,0.85,0.8,0.86,0.88,0.89,0.85,0.09,0.05,0.8,0,1,0.87,0.98,0.98,0,0,0.09,0.05,0.8,0,0.89,0.93,0.98,0.06,0.79,0.81,0.79,0.63
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.97,0.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,0.84,0.73,0.76,0.64,0.74,0.56,0.94,0.61,0.89,0.38,0.9,0,0.78,0.92,0.8,0.64,0.88,0.71,0.14,0.79,0.66,0.81,0.82,0.85,0.81,0.16,0.15,1,0,0.99,0.91,0.61,0.68,0,0,0.16,0.15,1,0,0.83,0.85,0.99,0.04,0.77,0.74,0.68,0.28
"GLOBALHEALTH, INC.",GLOBALHEALTH MEDICARE,"Kinderhook Capital Fund III, L.P.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.94,0.84,0,0,0,0,1,0,0,0,0.99,0.07,0.65,0.79,0.72,0.18
"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna-HealthSpring,CIGNA,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.9,0.61,0.38,0,0,0.22,0,0,0,0,0,0,0.3,0.21,1,0,0,0,0.94,0.98,0,0,0.3,0.21,1,0,0,0,0.99,0.04,0.71,0.73,0.68,0.35
"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Meridian Complete,"Caidan Enterprises, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLINA HEALTHCARE OF OHIO, INC.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",0,0.51,0.54,0,0,0,0.94,-1,0.75,0.39,0.73,0,0.58,0,0.74,0.68,0,0,0,0,0.72,0.85,0,0.76,0.83,0,0.22,1,0,0,0,0.9,0.94,0,0,0,0.22,1,0,0.8,0,0.99,0.07,0.72,0.65,0.65,0.68
THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Plan,Contra Costa Health Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,0.79,0.77,0.75,0.73,0.83,0.55,0.97,0,0,0,0,0.37,0.72,0.99,0.88,0.77,0.73,0.61,0.1,0.81,0.74,0.84,0.85,0.87,0.84,0.16,0.05,0.6,0,0.92,0.88,0.73,0.74,2.8,0.72,0.16,0.05,0.6,0,0.86,0.9,0.98,0.09,0.78,0.81,0.77,0.21
AETNA HEALTH OF CALIFORNIA INC.,Aetna Medicare,Aetna Inc.,0.76,0.73,0.71,0.65,0.79,0.5,0.97,0,0,0,0,0.48,0.78,0.94,0.81,0.74,0.74,0.57,0.08,0.79,0.69,0.85,0.82,0.83,0.79,0.14,0.14,0.4,0,0.91,0.91,0.99,0.98,1,0,0.14,0.14,0.4,0,0.81,0.89,0.99,0.1,0.73,0.78,0.75,0.43
"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0.91,0.91,0.8,0.66,0.78,0.66,0.98,0.79,0.97,0.95,0.97,0.83,0.84,0.98,0.9,0.95,0.88,0.64,0.12,0.86,0.81,0.9,0.89,0.91,0.86,0.07,0.01,1,0,0.95,0.79,0.98,0.91,0.6,0.95,0.07,0.01,1,0,0.91,0.93,1,0.05,0.83,0.84,0.82,0.84
UHC OF CALIFORNIA,UnitedHealthcare,"UnitedHealth Group, Inc.",0.77,0.75,0.75,0.65,0.83,0.52,0.96,0,0,0,0,0.37,0.73,0.93,0.85,0.78,0.73,0.57,0.09,0.8,0.76,0.84,0.86,0.85,0.82,0.16,0.07,0.8,0,0.99,0.97,0.96,0.98,0.4,0.91,0.16,0.07,0.8,0,0.83,0.89,0.98,0.06,0.76,0.79,0.75,0.34
CAREMORE HEALTH PLAN,CareMore Health Plan,Anthem Inc.,0.83,0.78,0.74,0.73,0.76,0.55,0.96,0.57,0.92,0.72,0.93,0.63,0.78,0.97,0.82,0.81,0.74,0.61,0.07,0.81,0.73,0.92,0.85,0.89,0.82,0.09,0.07,1,0,0.98,0.92,0.93,0.96,0.4,0,0.09,0.07,1,0,0.87,0.89,0.99,0.04,0.77,0.78,0.73,0.32
"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,0.79,0.73,0.71,0.66,0.74,0.55,0.98,0,0,0,0,0.55,0.82,0.95,0.86,0.88,0.81,0.57,0.07,0.76,0.72,0.9,0.85,0.89,0.8,0.04,0.05,1,0,1,0.86,0.84,0.78,0,0,0.04,0.05,1,0,0.89,0.92,0.99,0.1,0.75,0.79,0.76,0.34
"HEALTH NET OF CALIFORNIA,INC.",Health Net of California,"Health Net, Inc.",0.8,0.77,0.72,0.7,0.75,0.51,0.91,0.3,0.99,0.77,0.83,0.43,0.76,0.96,0.84,0.76,0.77,0.58,0.09,0.83,0.73,0.87,0.84,0.86,0.84,0.16,0.11,0.8,0,0.98,0.9,0.96,0.96,1.1,0.73,0.16,0.11,0.8,0,0.84,0.89,0.99,0.05,0.78,0.79,0.76,0.2
BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,Anthem Inc.,0.73,0.68,0.63,0.67,0.77,0.46,0.94,0,0,0,0,0.46,0.64,0.95,0.82,0.69,0.7,0.59,0.08,0,0,0,0,0.83,0,0.31,0.07,0.8,0,0,0,0.99,0.98,4.6,0,0.31,0.07,0.8,0,0.84,0,0.99,0.06,0.71,0.77,0.74,0.26
CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,0.67,0.72,0.82,0.72,0.78,0.55,0.94,-1,0.84,0.57,0.77,0.28,0.78,0.93,0.87,0.76,0.66,0.76,0.1,0.81,0.73,0.91,0.88,0.87,0.84,0.05,0.05,0,0,-1,-1,0,0,-1,-1,0.05,0.05,0,0,0.85,0.87,0.98,0.03,0.86,0.87,0.82,0.22
ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",0.71,0.71,0.77,0.66,0.81,0.51,0.9,0,0,0,0,0.21,0.7,0.85,0.77,0.76,0.74,0.57,0.1,0.87,0.79,0.92,0.86,0.87,0.87,0.06,0.04,0.8,0,0.98,0.96,0,0,0.5,0,0.06,0.04,0.8,0,0.84,0.92,0.96,0.15,0.78,0.82,0.79,0.77
"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",0.69,0.77,0.79,0.71,0.8,0.51,0.95,0,0,0,0,0.47,0.68,0.93,0.84,0.78,0.78,0.55,0.08,0.85,0.78,0.88,0.86,0.85,0.86,0.12,0.05,1,0,0.98,0.95,0.96,0.98,0.9,0.85,0.12,0.05,1,0,0.84,0.91,0.98,0.06,0.76,0.8,0.76,0.43
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0.65,0.7,0.73,0.69,0.78,0.46,0.97,0.37,0.91,0.85,0.94,0,0.66,0.89,0.72,0.73,0.77,0.68,0.1,0.86,0.74,0.87,0.86,0.87,0.83,0.19,0.11,1,0,0,0,0.96,0.98,0,0,0.19,0.11,1,0,0.85,0.9,0.98,0.12,0.74,0.75,0.74,0.51
KAISER FOUNDATION HP OF CO,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0.86,0.87,0.82,0.68,0.83,0.58,0.99,0.78,0.9,0.95,0.97,0.58,0.8,0.95,0.88,0.9,0.9,0.58,0.07,0.83,0.8,0.88,0.87,0.89,0.85,0.12,0.02,1,0,1,0.96,0.98,0.91,0,0,0.12,0.02,1,0,0.9,0.93,1,0.06,0.79,0.83,0.81,0.64
COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,Colorado Choice Health Plans,0.41,0.38,0.69,0.68,0.8,0.41,0.85,0,0,0,0,0,0.49,0,0.41,0.63,0,0.58,0,0.85,0.78,0.93,0.83,0.83,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0.26,0.45,0,0,0,0.24,0.93,0.98,0.88,0.99,0.99,0,0.89,0.86,0.76,0,0,0,0.05,0,0,0,0,0,0,0.15,0.04,1,0,1,0.97,0.96,0.98,0,0,0.15,0.04,1,0,0,0,0.96,0.06,0.79,0.82,0.82,0.52
"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",0.76,0.61,0.72,0.68,0.81,0.55,0.86,0.34,0.71,0.46,0.73,0.05,0.72,0.9,0.65,0.64,0.83,0.68,0.13,0.79,0.76,0.85,0.83,0.83,0.83,0.17,0.12,0,0,0.81,0.78,0.82,0.77,22.8,0.63,0.17,0.12,0,0,0.8,0.87,0.99,0.09,0.73,0.77,0.72,0.12
UCARE MINNESOTA,EssentiaCare,UCare Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.72,0.71,0.74,0.74,0.81,0.49,0.91,0,0,0,0,0.46,0.68,0.9,0.76,0.77,0.77,0.58,0.1,0.85,0.78,0.88,0.85,0.82,0.84,0.23,0.21,1,0,0.99,0.97,0.96,0.98,0.2,0.85,0.23,0.21,1,0,0.8,0.91,0.98,0.05,0.77,0.81,0.77,0.4
HEALTH ALLIANCE CONNECT,Health Alliance Connect,The Carle Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUILDNET, INC.",GuildNet Gold Plus FIDA,Lighthouse Guild International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",0.68,0.65,0.66,0,0,0,0.95,0.45,1,0.87,0.92,0,0.7,0.91,0.76,0.75,0,0,0.1,0.74,0.69,0.79,0.81,0.8,0,0.36,0.18,1,0,1,0.82,0.88,0.89,0,0,0.36,0.18,1,0,0.84,0,0.98,0.08,0.75,0.72,0.71,0.18
"FAMILYCARE HEALTH PLANS, INC.","FamilyCare Health Plans, Inc.",FamilyCare Incorporated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.93,0.91,0,0,0,0,1,0,0,0,0.99,0.08,0,0.84,0.7,0
CRESTPOINT HEALTH INSURANCE COMPANY,CrestPoint Health Insurance Company,Mountain States Health Alliance,0,0.62,0.82,0,0,0.48,0.95,0,0,0,0,0,0.62,0.92,0.82,0.75,0.83,0.53,0.12,0.87,0.79,0.91,0.88,0.9,0.88,0.16,0.09,1,0,0,0,0.86,0.81,0,0,0.16,0.09,1,0,0.9,0.95,0.99,0.06,0.72,0.78,0.75,0.17
"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan,Centene Corporation,0.62,0.51,0.69,0,0,0.38,0.83,0.23,0.6,0.6,0.68,0,0.6,0.88,0.57,0.55,0,0,0.11,0.84,0.76,0.86,0.86,0.82,0.85,0.42,0.17,0.8,0,0.91,0.94,0.9,0.92,7.3,0,0.42,0.17,0.8,0,0.81,0.89,0.99,0.07,0.69,0.69,0.68,0.4
"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",0.68,0.57,0.65,0.7,0.81,0.55,0.92,0,0,0,0,0,0.48,0.91,0.76,0.65,0,0.64,0.13,0.78,0.68,0.78,0.81,0.77,0.82,0.22,0.19,0,0,1,1,0.82,0.77,13.3,0,0.22,0.19,0,0,0.81,0.87,0.99,0.07,0.68,0.69,0.61,0.03
HEALTH CARE SERVICE CORPORATION,Blue Cross Community MMAI,Health Care Service Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EDEN HEALTH PLANS, INC.","Eden Health Plans, Inc.","Eden Health Plans, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AVMED, INC.",AvMed Medicare,"AvMed, Inc.",0.8,0.75,0.66,0.64,0.83,0.58,0.98,0,0,0,0,0.47,0.79,0.94,0.88,0.78,0.82,0.59,0.1,0.82,0.67,0.9,0.85,0.88,0.82,0.06,0.09,1,0,0.88,0.88,0.93,0.92,2,0.77,0.06,0.09,1,0,0.86,0.9,0.98,0.07,0.77,0.81,0.72,0.39
