C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults ñ Medication Review,C10: Care for Older Adults ñ Functional Status Assessment,C11: Care for Older Adults ñ Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare ñ Eye Exam,C14: DiabetesCare ñ Kidney Disease Monitoring,C15: DiabetesCare ñ Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center ñ Foreign Language Interpreter and TTY Availability,D01: Call Center ñ Foreign Language Interpreter and TTY Availability,D02: Appeals AutoñForward,D03: Appeals Upheld,D04: Complaints about the Drug Plan
97%,32.30%,93%,80%,92%,24%,71%,96%,79%,63%,69%,65%,11%,83%,74%,87%,82%,83%,84%,0.26,15%,0,Medicare shows only a Star Rating for this topic,84%,94%,82%,77%,17,80%,0.26
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,47%,80%,94%,88%,80%,81%,63%,9%,87%,80%,89%,88%,90%,87%,0.06,5%,100,Medicare shows only a Star Rating for this topic,94%,91%,88%,91%,0,No data available,0.06
99%,57.40%,97%,96%,98%,63%,83%,98%,85%,80%,78%,61%,9%,81%,74%,88%,85%,87%,83%,0.15,8%,60,Medicare shows only a Star Rating for this topic,96%,95%,96%,98%,0.8,82%,0.15
97%,64.00%,93%,88%,92%,41%,72%,94%,89%,51%,70%,62%,10%,84%,75%,90%,88%,87%,85%,0.23,13%,80,Medicare shows only a Star Rating for this topic,100%,91%,96%,98%,4.8,75%,0.23
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,29%,77%,92%,89%,80%,79%,59%,10%,85%,78%,92%,87%,89%,84%,0.1,6%,100,Medicare shows only a Star Rating for this topic,100%,93%,98%,91%,CMS identified issues with this plan's data,CMS identified issues with this plan's data,0.1
99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,70%,94%,84%,81%,83%,59%,8%,84%,75%,85%,85%,84%,85%,0.25,14%,40,Medicare shows only a Star Rating for this topic,0,0,99%,98%,0,0,0.25
96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,41%,61%,91%,78%,56%,71%,63%,10%,78%,71%,87%,84%,83%,85%,0.34,24%,100,Medicare shows only a Star Rating for this topic,95%,95%,96%,98%,0,0,0.34
87%,33.80%,68%,40%,72%,8%,57%,91%,66%,49%,69%,59%,12%,77%,72%,85%,84%,83%,84%,0.23,16%,0,Medicare shows only a Star Rating for this topic,86%,88%,82%,77%,13,67%,0.23
100%,93.90%,100%,98%,100%,77%,81%,98%,89%,88%,84%,61%,8%,83%,78%,90%,89%,91%,87%,0.38,4%,100,Medicare shows only a Star Rating for this topic,97%,93%,98%,91%,0,0,0.38
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0
99%,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,82%,84%,97%,92%,90%,85%,61%,8%,83%,81%,89%,89%,91%,87%,0.1,2%,100,Medicare shows only a Star Rating for this topic,0,0,98%,91%,0,0,0.1
89%,35.80%,75%,58%,76%,24%,64%,95%,67%,52%,65%,70%,12%,0,71%,85%,83%,83%,83%,0.31,21%,0,Medicare shows only a Star Rating for this topic,91%,95%,82%,77%,13.8,74%,0.31
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,56%,72%,88%,81%,73%,71%,53%,10%,82%,78%,82%,85%,79%,84%,0.13,19%,100,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0,No data available,0.13
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,60,0,0,0,96%,98%,0,0,0
77%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,13%,59%,85%,79%,64%,87%,51%,7%,85%,79%,91%,88%,83%,87%,0.08,11%,80,Medicare shows only a Star Rating for this topic,78%,70%,76%,83%,0,0,0.08
90%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,34%,73%,90%,76%,70%,80%,54%,8%,86%,81%,90%,87%,84%,87%,0.09,10%,60,Medicare shows only a Star Rating for this topic,92%,83%,94%,95%,11.2,No data available,0.09
87%,55.50%,84%,89%,87%,17%,68%,87%,81%,67%,86%,59%,10%,85%,79%,93%,87%,86%,86%,0.06,4%,80,Medicare shows only a Star Rating for this topic,82%,73%,83%,86%,1.9,81%,0.06
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,83%,92%,78%,78%,0,47%,10%,86%,81%,93%,87%,87%,88%,0.07,17%,80,Medicare shows only a Star Rating for this topic,0,0,100%,100%,0,0,0.07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100%,64.10%,96%,93%,99%,25%,75%,95%,83%,77%,77%,62%,10%,82%,75%,85%,85%,85%,86%,0.22,6%,60,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0.7,No data available,0.22
95%,58.30%,81%,65%,77%,44%,66%,95%,70%,67%,72%,67%,11%,80%,74%,84%,84%,84%,86%,0.39,17%,80,Medicare shows only a Star Rating for this topic,93%,100%,89%,92%,0,0,0.39
86%,33.10%,72%,49%,75%,27%,60%,94%,74%,58%,82%,70%,12%,75%,72%,85%,83%,81%,84%,0.28,16%,0,Medicare shows only a Star Rating for this topic,90%,98%,82%,77%,7.6,No data available,0.28
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,38%,74%,90%,76%,74%,85%,54%,12%,88%,80%,92%,89%,89%,89%,0.07,3%,100,Medicare shows only a Star Rating for this topic,100%,78%,93%,98%,0,0,0.07
93%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,26%,68%,92%,80%,76%,81%,57%,9%,86%,78%,87%,87%,84%,88%,0.18,14%,60,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0,0,0.18
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,64%,70%,94%,80%,79%,89%,62%,12%,90%,81%,93%,90%,91%,88%,0.07,3%,100,Medicare shows only a Star Rating for this topic,98%,80%,93%,98%,0,0,0.07
96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,19%,77%,92%,85%,87%,91%,57%,10%,87%,81%,90%,88%,88%,87%,0.03,4%,60,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0,0,0.03
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,29%,59%,89%,81%,76%,82%,52%,9%,86%,81%,85%,89%,85%,88%,0.12,8%,60,Medicare shows only a Star Rating for this topic,0,0,96%,98%,1.2,No data available,0.12
92%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,30%,60%,89%,78%,72%,77%,47%,10%,85%,78%,80%,86%,80%,89%,0.29,13%,100,Medicare shows only a Star Rating for this topic,0,0,99%,98%,2.5,0,0.29
